Id,Employee Id,Scheduled Shift Id,Start Time - Shift,End Time - Shift,Start Time - Break,End Time - Break,Pay Rule ID,Org Id - Sub Shift
520550,958,,2018-03-31T04:00:00,2018-03-31T11:30:00,2018-03-31T06:32:00,2018-03-31T07:02:00,5,520
520552,973,,2018-03-31T04:15:00,2018-03-31T10:15:00,2018-03-31T06:47:00,2018-03-31T07:17:00,5,263
520551,2114,,2018-03-31T04:15:00,2018-03-31T13:00:00,2018-03-31T09:12:00,2018-03-31T09:42:00,5,263
520553,3316,,2018-03-31T04:30:00,2018-03-31T11:15:00,2018-03-31T06:59:00,2018-03-31T07:29:00,5,520
520555,953,,2018-03-31T04:45:00,2018-03-31T13:45:00,,,5,255
520556,976,,2018-03-31T04:45:00,2018-03-31T13:45:00,,,5,277
520557,978,,2018-03-31T04:45:00,2018-03-31T10:30:00,2018-03-31T07:19:00,2018-03-31T07:49:00,5,275
520554,955,,2018-03-31T04:45:00,2018-03-31T13:45:00,,,5,277
520560,3343,531194,2018-03-31T05:00:00,2018-03-31T16:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,52
520562,3504,,2018-03-31T05:00:00,2018-03-31T10:00:00,,,5,520
520558,4178,531212,2018-03-31T05:00:00,2018-03-31T16:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,52
520559,3013,,2018-03-31T05:00:00,2018-03-31T08:15:00,,,5,278
520561,1004,,2018-03-31T05:00:00,2018-03-31T06:00:00,,,6,48
521709,5079,,2018-03-31T05:00:00,2018-03-31T14:30:00,2018-03-31T12:00:00,2018-03-31T12:30:00,5,520
520563,3941,531202,2018-03-31T05:15:00,2018-03-31T15:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,52
520564,5127,,2018-03-31T06:00:00,2018-03-31T14:00:00,2018-03-31T06:26:00,2018-03-31T06:56:00,5,520
520569,4593,535228,2018-03-31T06:00:00,2018-03-31T14:30:00,2018-03-31T12:00:00,2018-03-31T12:30:00,5,364
520574,4298,,2018-03-31T06:00:00,2018-03-31T14:00:00,2018-03-31T08:26:00,2018-03-31T09:26:00,18,838
520575,4952,534397,2018-03-31T06:00:00,2018-03-31T14:00:00,2018-03-31T10:00:00,2018-03-31T11:00:00,18,838
520570,1411,535235,2018-03-31T06:00:00,2018-03-31T14:30:00,2018-03-31T12:00:00,2018-03-31T12:30:00,6,364
520565,4312,,2018-03-31T06:00:00,2018-03-31T14:30:00,2018-03-31T06:27:00,2018-03-31T06:57:00,5,520
520566,4735,,2018-03-31T06:00:00,2018-03-31T14:15:00,2018-03-31T06:39:00,2018-03-31T07:09:00,5,520
520568,3236,535218,2018-03-31T06:00:00,2018-03-31T14:30:00,2018-03-31T12:00:00,2018-03-31T12:30:00,5,364
522533,1308,535213,2018-03-31T06:00:00,2018-03-31T15:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,371
